word,mean_impact,std_impact,frequency,max_impact,min_impact,impact_range
better,-0.014011785245052031,0.014865198349715078,25,0.00216583166130487,-0.04334382699127766,0.04550965865258253
spelling,-0.01400335275479305,0.018218460469517743,6,0.0087893705093567,-0.039594634062993184,0.048384004572349884
size,0.013550394911200843,0.01904768815825232,6,0.04326136994332588,-0.004536441127629954,0.047797811070955834
fun,0.013165701703810172,0.008967243675260002,15,0.03669566654583747,0.002873532076210604,0.03382213446962686
guy,0.012964000553836019,0.030020864757737565,11,0.079132606344514,-0.009902398020282832,0.08903500436479683
people,0.012677690839451472,0.009558305205990015,93,0.03024755076258611,-0.03255482551317906,0.06280237627576517
happy,-0.012579676631684229,0.00583387133557743,11,-0.002961939949041647,-0.02216816916409974,0.01920622921505809
about,-0.012483787898932674,0.015341415777890461,163,0.015226238587155926,-0.1067323044778977,0.12195854306505362
nigger,0.01229221391490326,0.030030354602841907,28,0.09233757054527808,-0.005773817445392759,0.09811138799067085
motherassadyoure,0.01215533836142744,0.002124554035799079,17,0.015150802610055188,0.008685650419088429,0.00646515219096676
crap,0.012141096486115116,0.00927979478519665,8,0.023852061089517068,-0.001921447228592747,0.025773508318109817
wiki,0.012080164696877782,0.009503973604742486,15,0.032736356630250096,-0.00678434206628941,0.03952069869653951
public,-0.011964248002649306,0.022933237404574137,7,0.004463617615091243,-0.06631224769702768,0.07077586531211892
article,-0.011920821139706881,0.008831367212065701,208,0.007580976993046098,-0.04069759030310851,0.04827856729615461
were,-0.011766973351818198,0.013563519587915856,66,0.006062973891746659,-0.06031153261146791,0.06637450650321457
it,-0.011688254284404571,0.01560599366273346,515,0.052049790080267305,-0.1422202313573146,0.1942700214375819
as,-0.011547454515658268,0.009986934364504842,281,0.01381208409766975,-0.05320128843263838,0.06701337253030813
be,-0.011520607175780342,0.017121061829763477,337,0.0634309101583083,-0.08311597397612373,0.14654688413443204
much,0.011415464847812135,0.013043599683101911,38,0.0514037079256447,-0.00486295507999955,0.05626666300564425
lot,-0.011326460018785399,0.005953251411010886,17,-0.0010380097316305958,-0.022694723033310403,0.021656713301679807
hello,-0.010976216749778552,0.016686257020079327,19,0.047068820739467124,-0.040648102580014646,0.08771692331948178
if,-0.010940393845930672,0.011057438420264493,228,0.007777730966878843,-0.04884446210699899,0.056622193073877836
original,-0.010812068931683844,0.008314133756550471,12,-0.0006883116349042181,-0.032618772871485936,0.03193046123658172
heard,0.010807888398595096,0.00744993789643168,6,0.020336302204567645,-0.003978238198995706,0.024314540403563352
yet,-0.0107640044812294,0.005053955569721326,16,0.0025895461782744185,-0.020585763077001218,0.023175309255275636
uk,0.010625587951956896,0.014908835710258542,6,0.03312192178522677,-0.004148029834183957,0.03726995161941073
redirect,-0.010556628522440208,0.010047731861444547,9,0.005400130602587931,-0.030944259850484733,0.03634439045307267
theory,-0.01050706803896513,0.015437095100555468,5,0.009984419375453251,-0.031432607887668045,0.0414170272631213
got,0.010447787345068309,0.011309481078199655,28,0.032518001139543486,-0.0042755134816384,0.03679351462118188
deserve,-0.010166935302116917,0.01586226792511043,7,0.002623815166906321,-0.04660433239747915,0.049228147564385476
continue,-0.009979746640379476,0.009596172699458526,19,0.008040405639901427,-0.031038487571145395,0.03907889321104682
hes,0.009968548254102306,0.008741457449891821,9,0.0227679390173629,-0.0033365380741450144,0.026104477091507913
but,-0.009965349923134853,0.00763966714741398,198,0.007563145311648683,-0.03858817888786223,0.046151324199510915
