word,mean_impact,std_impact,frequency,max_impact,min_impact,impact_range
help,-0.19962934385377826,0.06626852481602256,12,-0.16999315860232656,-0.3478102701110364,0.17781711150870982
another,-0.19413409368621104,0.05422740047100868,10,-0.17605829352920818,-0.3568162950992371,0.18075800157002894
talk,-0.1925904280511711,0.16208119358669087,33,-0.13421200184590554,-0.9369153621683071,0.8027033603224015
she,-0.1890761522659303,0.14600212953900968,9,-0.08317810364448258,-0.5163973934594961,0.4332192898150135
bastard,0.1882550527841398,0.2425200824904535,6,0.5615076808709347,0.013374450813403754,0.548133230057531
may,-0.1847910666485914,0.1256100044941281,16,-0.10644147779820189,-0.44833059278171977,0.34188911498351787
again,-0.1766885219675615,0.0797290461363242,20,-0.14541621719454173,-0.458139264924739,0.31272304773019727
understand,0.17553904290872976,0.2305482081645523,14,0.7826157386498449,0.08166120336113472,0.7009545352887102
discussions,-0.17401518263192892,0.056262258166864344,6,-0.14885393586617862,-0.2998214164606803,0.15096748059450166
much,0.16343084910686087,0.043797576410524196,24,0.3086909767874903,0.1502253829540764,0.1584655938334139
actually,-0.1633031722768608,0.05786607844122265,8,-0.12989417631187292,-0.2635301601718245,0.1336359838599516
above,-0.16257890576955708,0.04558287077651133,10,-0.14738461551072,-0.2993275180990911,0.1519429025883711
been,0.15954053655455838,0.18170308386783932,38,0.9434684853696007,0.09234671237041198,0.8511217729991887
need,-0.15741204473587664,0.04170392307489033,25,-0.14511422874088628,-0.29883692867826583,0.15372269993737955
added,-0.15514276045144434,0.04078553625217418,12,-0.14284545857672615,-0.29041308107334407,0.14756762249661792
source,-0.1538732756981336,0.07552683702519021,13,-0.12359518130652919,-0.38600533270043413,0.26241015139390494
hope,0.15321821153820842,0.17690992674351697,8,0.48588802567203565,0.0513805133339756,0.43450751233806006
link,-0.151786796034699,0.09257554591364413,15,-0.1126664877783333,-0.4647492620856249,0.3520827743072916
won,-0.1509789119325481,0.2646975957161779,9,-0.05739417948520579,-0.8996567715112866,0.8422625920260809
using,0.1505279193726291,0.05333919891796749,8,0.24291412193357168,0.11973251851898158,0.1231816034145901
writing,-0.1453932620589166,2.7755575615628914e-17,10,-0.14539326205891656,-0.14539326205891656,0.0
guidelines,0.1435368259935703,0.07900943437818073,5,0.24030322553979744,0.07902589296275218,0.16127733257704524
comments,0.1387645836452967,0.10482670334470913,6,0.3731642181812709,0.09188465673810188,0.281279561443169
fact,0.13632783781570731,0.07038091781915712,9,0.31228013236360014,0.10113737890612877,0.21114275345747135
one,-0.13459251883550924,0.047930199993344184,44,-0.1137448548275307,-0.2447873143062527,0.131042459478722
look,-0.13458664616237487,2.7755575615628914e-17,14,-0.1345866461623749,-0.1345866461623749,0.0
change,0.13418437312220075,0.0,6,0.13418437312220075,0.13418437312220075,0.0
now,-0.13138683379667854,0.043645322690844285,37,-0.11413450518216642,-0.24180173692955612,0.1276672317473897
its,-0.12991850758774226,0.041599222448872306,7,-0.11293569613836418,-0.2318153762840107,0.11887968014564651
has,0.12724094956880702,0.07030910788103228,41,0.39157484472398024,0.08771438580728579,0.30386045891669444
better,-0.12594032552132173,0.0,16,-0.12594032552132173,-0.12594032552132173,0.0
little,-0.12493236594499417,0.03385354154754378,11,-0.11422693612965619,-0.23198666409837393,0.11775972796871774
site,0.12411200814804059,0.0672888336632249,8,0.30214152803252503,0.09867921959311424,0.2034623084394108
what,-0.12377125806252907,0.20312067998677288,43,-0.07128318170283199,-1.3878590970585678,1.316575915355736
person,0.12284700578911699,0.06444061635159323,9,0.3051125930133262,0.10006380738609086,0.20504878562723536
original,-0.12087372628482079,0.0391485904789343,6,-0.10336594437798115,-0.20841263581901892,0.10504669144103777
copy,-0.12037574575849974,0.0,6,-0.12037574575849974,-0.12037574575849974,0.0
where,0.11959319142450353,0.037808762997034916,7,0.21220536857306074,0.10415782856641068,0.10804754000665007
no,-0.11760017520486606,0.05492798497636599,37,-0.09247998398306408,-0.32484175278473254,0.23236176880166848
bit,-0.11756694722326708,0.04138860282143645,8,-0.09367122624292824,-0.1892541101642836,0.09558288392135535
vandalize,-0.11740463940508242,0.0,5,-0.11740463940508242,-0.11740463940508242,0.0
editors,0.1165804776465476,1.3877787807814457e-17,10,0.11658047764654761,0.11658047764654761,0.0
specific,0.11634963869531502,0.036130482576154026,7,0.20485088516741065,0.10159943094996576,0.10325145421744489
come,-0.11621034056556155,0.03763821280315715,6,-0.09937802008966908,-0.20037194294502383,0.10099392285535476
care,0.1151101594107095,0.0,6,0.1151101594107095,0.1151101594107095,0.0
