word,mean_impact,std_impact,frequency,max_impact,min_impact,impact_range
on,-0.023389319105941712,0.009844597072302359,134,0.00243036774918437,-0.047880106372758746,0.050310474121943116
ur,0.022257415843861445,0.01536882846404168,7,0.03620373085141182,0.0,0.03620373085141182
would,-0.021521586205132982,0.007481009411898363,33,-0.011068754363805056,-0.033805557526648045,0.02273680316284299
ll,0.020619097301581252,0.01924548033355605,12,0.05642437003552914,0.0019660252146422863,0.05445834482088685
you,-0.020534445559756247,0.06500519882564278,244,0.13580169179476798,-0.1505718883126974,0.2863735801074654
any,-0.020288210923253145,0.007106534691741245,27,-0.003831302747130394,-0.03050239384174347,0.026671091094613075
section,-0.02028007280582992,0.004524549673884851,13,-0.009379736380651593,-0.02574435155838728,0.016364615177735686
one,-0.019832036324641516,0.008493263680721948,31,-0.006146597675979137,-0.036636088974773884,0.030489491298794746
with,-0.01973777334088215,0.011134190796768927,99,0.010782995377667248,-0.045548814348876476,0.056331809726543725
he,-0.019358880052875196,0.007593838729152341,14,-0.006681439001113176,-0.03761017415672541,0.03092873515561223
be,-0.019241032836508493,0.010422549057761934,87,-0.0025811386294662952,-0.05453001847490668,0.05194887984544039
original,-0.018877587547259673,0.012448180074949538,7,-0.008415875025093555,-0.03607181552797556,0.027655940502882004
nazi,0.018789148811871808,0.012305738117923817,6,0.03569377399981022,0.0041347346268594265,0.03155903937295079
copy,-0.01824174342410905,0.00397592585508444,7,-0.010697297751903534,-0.021394595503807068,0.010697297751903534
course,-0.01743322624824941,0.01669860352156481,10,-0.00407272856682539,-0.061428270768374205,0.057355542201548815
keep,-0.016659264353317365,0.008292741770087684,12,-0.0064126234501600266,-0.029917008243501186,0.02350438479334116
no,-0.016252122393708823,0.014966208202385456,51,0.008626770810224116,-0.050081220688298345,0.05870799149852246
as,-0.016217320022406057,0.023347387842951425,72,0.001873321132734418,-0.07441805256530643,0.07629137369804084
need,-0.015908459389937065,0.0056338581570677644,21,-0.002890179632231593,-0.023320311680436134,0.02043013204820454
still,0.015561376644584995,0.010885522496403155,13,0.025127151049673557,0.0,0.025127151049673557
block,-0.014992121451844772,0.005192067134914667,18,-0.0071216002106666565,-0.028605829924345016,0.02148422971367836
not,-0.014969186266850546,0.00947186103733817,83,0.002512911334633827,-0.03666323330253363,0.039176144637167454
her,0.014964068096808412,0.0029351699902438397,11,0.01790488325059414,0.009704453404992819,0.00820042984560132
wikipedia,0.014906605442152604,0.009196741185017072,19,0.03373623685911298,0.0003931233659386635,0.033343113493174314
we,-0.013749778999980273,0.005664491939200222,35,-0.002106214640662074,-0.02595557877793908,0.023849364137277007
user,-0.013132780062733218,0.004419256682897084,8,-0.006466054357588291,-0.02018088474869728,0.01371483039110899
point,-0.012881838289710382,0.013206362910205533,6,0.0,-0.030974438413977623,0.030974438413977623
this,-0.012665271091064802,0.00619266131613508,82,0.00732682878151536,-0.025534925516694784,0.032861754298210144
again,-0.012349586280913132,0.007515102258642369,23,0.0009810918709263206,-0.02429228089749813,0.02527337276842445
comment,0.01207260723458603,0.00291892262147111,8,0.013757365755736828,0.006878682877868414,0.006878682877868414
edit,-0.011511860621491602,0.005782637015118915,24,0.00011697172885760665,-0.018774235621094704,0.01889120734995231
could,-0.011444641074790112,0.004147595942377562,22,-0.005198657047003508,-0.019576075486838818,0.01437741843983531
too,0.011291624527075328,0.003352746916298831,16,0.016177289420738816,0.004111162852495909,0.012066126568242908
told,0.01108120350788037,0.0027893241690045184,6,0.013346517458558083,0.007188412360846996,0.006158105097711086
2006,-0.01075917565030977,0.012305462962301419,5,0.0,-0.02804690710036084,0.02804690710036084
get,0.010309230597957856,0.008611648214286035,33,0.02497835038229823,0.0006581004709005356,0.024320249911397696
added,-0.01026902664307272,0.00731545871378293,12,-0.0003297543153166771,-0.02320791408419609,0.022878159768879414
nothing,-0.009654815224083986,0.003805905346079572,11,-0.004255397245287895,-0.014563938602805138,0.010308541357517242
agree,-0.009368403581902385,0.0050442845602009755,6,-0.005000990349799395,-0.019653359428048134,0.01465236907824874
to,-0.009078788417965581,0.011859600306900045,219,0.015457734931260347,-0.04045815020799637,0.055915885139256716
more,-0.008751232233903878,0.013850769577023987,22,0.008642768487334251,-0.04984436230733991,0.05848713079467416
your,0.008689605975677755,0.009539247438970033,101,0.05437528248876333,-0.003260976867750287,0.05763625935651362
because,0.008650821199725297,0.007385626310081858,33,0.020882724784314632,-0.005702745635062456,0.02658547041937709
relevant,-0.008484885761780398,0.0021153028339091057,7,-0.0040605999529361725,-0.01169686671346426,0.007636266760528088
love,0.00835268129594624,0.009877195076507242,7,0.024034430738538504,0.0,0.024034430738538504
place,0.008119910822382994,0.007961738651901988,7,0.018134962767362595,0.0,0.018134962767362595
post,0.00811959759864424,0.0042461997211543385,7,0.01175941713154316,0.001959902932867408,0.009799514198675752
change,0.007942257498923157,0.003646671498577127,7,0.015165387652814388,0.003248265362344682,0.011917122290469706
